age_group,pr_ward_to_discharge,pr_ward_to_ICU,pr_ICU_to_discharge,pr_ICU_to_postICU,pr_postICU_to_death,scale_onset_to_ward,scale_ward_to_discharge,scale_ward_to_ICU,scale_ward_to_death,scale_ICU_to_discharge,scale_ICU_to_death,scale_ICU_to_postICU,scale_postICU_to_discharge,scale_postICU_to_death,shape_onset_to_ward,shape_ward_to_discharge,shape_ward_to_ICU,shape_ward_to_death,shape_ICU_to_discharge,shape_ICU_to_death,shape_ICU_to_postICU,shape_postICU_to_discharge,shape_postICU_to_death
0-9,0.952581086640518,0.03484513581653251,0.2999849609466516,0.6499813995144281,0.023735813264893768,2.8779823501406976,2.317189098027023,1.465750439415134,87.4137055192835,3.2495690059634046,21.22392785081917,3.247917669596675,3.7261588007177444,2.8036123506565747,2.9417124254712417,0.9103866015557558,0.5298959459516001,0.6527906511486773,1.0480660860203708,0.747844420486808,1.1376118871554968,1.348914180908421,1.2800620324456526
10-19,0.952581086640518,0.03484513581653251,0.2999849609466516,0.6499813995144281,0.023735813264893768,2.8779823501406976,2.317189098027023,1.465750439415134,87.4137055192835,3.2495690059634046,21.22392785081917,3.247917669596675,3.7261588007177444,2.8036123506565747,2.9417124254712417,0.9103866015557558,0.5298959459516001,0.6527906511486773,1.0480660860203708,0.747844420486808,1.1376118871554968,1.348914180908421,1.2800620324456526
20-29,0.952581086640518,0.03484513581653251,0.2999849609466516,0.6499813995144281,0.023735813264893768,2.8779823501406976,2.317189098027023,1.465750439415134,87.4137055192835,3.2495690059634046,21.22392785081917,3.247917669596675,3.7261588007177444,2.8036123506565747,2.9417124254712417,0.9103866015557558,0.5298959459516001,0.6527906511486773,1.0480660860203708,0.747844420486808,1.1376118871554968,1.348914180908421,1.2800620324456526
30-39,0.952581086640518,0.03484513581653251,0.2999849609466516,0.6499813995144281,0.023735813264893768,2.8779823501406976,2.317189098027023,1.465750439415134,87.4137055192835,3.2495690059634046,21.22392785081917,3.247917669596675,3.7261588007177444,2.8036123506565747,2.9417124254712417,0.9103866015557558,0.5298959459516001,0.6527906511486773,1.0480660860203708,0.747844420486808,1.1376118871554968,1.348914180908421,1.2800620324456526
40-49,0.8972288505491863,0.07764119382150199,0.21571642966261445,0.6919611858092998,0.023735813264893768,2.975223387236198,4.960746224782414,2.7362080618282056,87.4137055192835,3.2495690059634046,21.22392785081917,3.247917669596675,3.7261588007177444,2.8036123506565747,2.6812485668440633,0.7384857349730479,0.4400396083150488,0.6527906511486773,1.3752736158315508,0.747844420486808,1.4402950233844403,1.6564559279519335,1.2800620324456526
50-59,0.8972288505491863,0.07764119382150199,0.21571642966261445,0.6919611858092998,0.023735813264893768,2.975223387236198,4.960746224782414,2.7362080618282056,87.4137055192835,3.2495690059634046,21.22392785081917,3.247917669596675,3.7261588007177444,2.8036123506565747,2.6812485668440633,0.7384857349730479,0.4400396083150488,0.6527906511486773,1.3752736158315508,0.747844420486808,1.4402950233844403,1.6564559279519335,1.2800620324456526
60-69,0.8972288505491863,0.07764119382150199,0.21571642966261445,0.6919611858092998,0.023735813264893768,2.975223387236198,4.960746224782414,2.7362080618282056,87.4137055192835,3.2495690059634046,21.22392785081917,3.247917669596675,3.7261588007177444,2.8036123506565747,2.6812485668440633,0.7384857349730479,0.4400396083150488,0.6527906511486773,1.3752736158315508,0.747844420486808,1.4402950233844403,1.6564559279519335,1.2800620324456526
70-79,0.8407711634802871,0.07204414382873475,0.1194282756802798,0.7112448831331142,0.023735813264893768,2.639076398951294,7.594317033299268,3.534462722406031,87.4137055192835,3.2495690059634046,21.22392785081917,3.247917669596675,3.7261588007177444,2.8036123506565747,2.659525721186193,0.9780606813227604,0.5232260237544903,0.6527906511486773,1.4743200140878734,0.5392796735475224,1.283682484751335,1.9806033855320648,1.2800620324456526
80+,0.8407711634802871,0.07204414382873475,0.1194282756802798,0.7112448831331142,0.023735813264893768,2.639076398951294,7.594317033299268,3.534462722406031,87.4137055192835,3.2495690059634046,21.22392785081917,3.247917669596675,3.7261588007177444,2.8036123506565747,2.659525721186193,0.9780606813227604,0.5232260237544903,0.6527906511486773,1.4743200140878734,0.5392796735475224,1.283682484751335,1.9806033855320648,1.2800620324456526
